"GeoGuide";"Guides";"Geo-Guide";;"Geo-Guide"
"GeoGuide0038";"GeoGuide0021";"Elektrische Verfahren {Geophysik}";"lkl=tqd 000";"Electrical Methods {Geophysics}"
"GeoGuide0039";"GeoGuide0021";"Isotopengeophysik";"lkl=tqe 000";"Isotope Geophysics {Geophysics}"
"GeoGuide0040";"GeoGuide0021";"Geothermische Verfahren {Geophysik}";"lkl=tqf 000";"Geothermal Methods {Geophysics}"
"GeoGuide0041";"GeoGuide0021";"Geophysikalische Bohrlochmessungen";"lkl=tqg 000";"Well Logging {Geophysics}"
"GeoGuide0042";"GeoGuide0021";"Aerogeophysik";"lkl=tqh 000";"Airborne Geophysical Methods"
"GeoGuide0043";"GeoGuide0021";;"lkl=tqi 000";"Composite surveys"
"GeoGuide0044";"GeoGuide0021";"Geophysikalische Methoden in anderen Wissenschaftsgebieten";"lkl=tqj 000";"Application of Geophysics in Other Science"
"GeoGuide0045";"GeoGuide0021";"Sonstige Verfahren {Geophysik}";"lkl=tqk 000";"Other Methods {Geophysics}"
"GeoGuide0022";"GeoGuide0003";"Regionale Geophysik";"lkl=ts 000";"Geophysics - Regional"
"GeoGuide0004";"GeoGuide";"Geodäsie";"lkl=un 000";"Geodesy"
"GeoGuide0005";"GeoGuide";"Meteorologie und Klimatologie";"lkl=tt 000";"Meteorology and Climatology"
"GeoGuide0006";"GeoGuide";"Hydrologie";"lkl=ua 000";"Hydrology"
"GeoGuide0046";"GeoGuide0006";"Methodische Anleitungen {Hydrologie}";"lkl=ua 200";"Methodical Manuals {Hydrology}"
"GeoGuide0047";"GeoGuide0006";;"lkl=ua 600";"History of hydrology"
"GeoGuide0048";"GeoGuide0006";"Hydrosphäre der Festlandgewässer {Hydrologie}";"lkl=ub 000";"Hydrosphere of Inland Waters in General"
"GeoGuide0049";"GeoGuide0006";"Oberflächenwasser {Hydrologie, Gewässertypologie}";"lkl=ubb 100";"Surface Water {Hydrology}"
"GeoGuide0050";"GeoGuide0006";"Unterirdische Gewässer insgesamt {Hydrologie}";"lkl=ubf 000";"Subsurface Waters {Hydrology}"
"GeoGuide0051";"GeoGuide0006";"Wasserhaushalt {Hydrologie}";"lkl=ubo 000";"Water Balance {Hydrology}"
"GeoGuide0052";"GeoGuide0006";"Angewandte Hydrologie";"lkl=uc 000";"Applied Hydrology"
"GeoGuide0053";"GeoGuide0006";"Regionale Hydrologie";"lkl=ud 000";"Regional Hydrology"
"GeoGuide0007";"GeoGuide";"Ozeanologie";"lkl=ug 000";"Oceanography"
"GeoGuide0054";"GeoGuide0007";"Geschichte der Ozeanologie";"lkl=ugb 100";"History of Oceanography"
"GeoGuide0055";"GeoGuide0007";"Theoretische Grundlagen der Ozeanologie";"lkl=ugb 200";"Theoretical Fundamentals {Oceanography}"
"GeoGuide0056";"GeoGuide0007";"Methodische Anleitungen {Ozeanologie}";"lkl=ugd 000";"Methods {Oceanography}"
"GeoGuide0057";"GeoGuide0007";"Allgemeine Ozeanologie";"lkl=uh 000";"General Oceanography"
"GeoGuide0058";"GeoGuide0007";"Angewandte Ozeanologie";"lkl=uhk 000";"Applied Oceanography"
"GeoGuide0059";"GeoGuide0007";"Regionale Ozeanologie";"lkl=uk 000";"Regional Oceanography"
"GeoGuide0074";"GeoGuide0008";"Bodenkunde";"lkl=vn 000";"Soil Science"
"GeoGuide0163";"GeoGuide0074";"Bodenuntersuchung, Bodenanalyse";"lkl=voa 000";"Soil Analysis"
"GeoGuide0164";"GeoGuide0074";"Bodenökologie";"lkl=vob 000";"Soil Ecology (Properties and Composition)"
"GeoGuide0165";"GeoGuide0074";"Bodenart - Mineralische Bodensubstanz";"lkl=voba 000";"Soil Type: Soil Minerals"
"GeoGuide0166";"GeoGuide0074";"Chemische und Physikochemische Bodeneigenschaften";"lkl=vobb 000";"Chemical and Physicochemical Properties {Soil Science}"
"GeoGuide0167";"GeoGuide0074";"Physikalische Bodeneigenschaften";"lkl=vobc 000";"Physical Soil Properties"
"GeoGuide0168";"GeoGuide0074";"Bodenbiologie";"lkl=vobd 000";"Soil Biology"
"GeoGuide0169";"GeoGuide0074";"Bodenbildung und Bodenentwicklung";"lkl=voe 000";"Pedogenesis"
"GeoGuide0170";"GeoGuide0074";"Bodenhorizonte";"lkl=vof 000";"Soil Morphology"
"GeoGuide0171";"GeoGuide0074";"Bodensystematik";"lkl=voh 000";"Soil Classification"
"GeoGuide0172";"GeoGuide0074";"Bodengeographie";"lkl=vol 000";"Soil Geography"
"GeoGuide0173";"GeoGuide0074";"Bodenaufnahme und Bodenkartierung";"lkl=vom 000";"Soil Mapping and Surveying"
"GeoGuide0174";"GeoGuide0074";"Bodenverschlechterung. Bodenkontamination";"lkl=von 000";"Soil Degradation and Soil Contamination"
"GeoGuide0175";"GeoGuide0074";"Bodenerosion";"lkl=voo 000";"Soil Erosion"
"GeoGuide0176";"GeoGuide0074";"Bodenerhaltung. Bodenschutz";"lkl=vop 000";"Soil Conservation and Soil Protection"
"GeoGuide0178";"GeoGuide0074";"Regionale Bodenkunde";"lkl=vp 000";"Regional Pedology"
"GeoGuide0011";"GeoGuide";"Geographie";"lkl=qa 000";"Geography"
"GeoGuide0220";"GeoGuide0011";"Geoinformationssysteme {Geographie}";"lkl=qbd 700";"GIS - Geographical Information Systems {Geography}"
"GeoGuide0221";"GeoGuide0220";"GIS: Methodische Anleitungen";"lkl=qbda 700";"GIS: methodology"
"GeoGuide0222";"GeoGuide0220";"GIS: Regionale und Thematische Anwendungen";"lkl=qbdb 700";"GIS: regional, thematic relation"
"GeoGuide0223";"GeoGuide0220";"GIS: Softwareanbieter";"lkl=qbdc 700";"GIS: Software Providers "
"GeoGuide0224";"GeoGuide0011";"Physische Geographie";"lkl=qd 000";"Physical Geography"
"GeoGuide0225";"GeoGuide0224";"Geomorphologie {Physische Geographie}";"lkl=qdb 000";"Geomorphology {Physical Geography}"
"GeoGuide0226";"GeoGuide0224";"Biogeographie";"lkl=qdj 000";"Biogeography"
"GeoGuide0227";"GeoGuide0224";"Allgemeine Naturlandschaftskunde";"lkl=qdn 000";"Landscape Ecology, Geoecology"
"GeoGuide0228";"GeoGuide0011";"Anthropogeographie";"lkl=qe 000";"Human Geography, Anthropogeography"
"GeoGuide0229";"GeoGuide0228";"Sozialgeographie im engeren Sinn";"lkl=qea 000";"Social Geography"
"GeoGuide0230";"GeoGuide0228";"Medizinische Geographie";"lkl=qef 000";"Medical Geography"
"GeoGuide0231";"GeoGuide0228";"Bevölkerungsgeographie und Wanderungsforschung";"lkl=qeg 000";"Population Geography and Migration Analysis"
"GeoGuide0232";"GeoGuide0228";"Religionsgeographie";"lkl=qeh 000";"Religion Geography"
"GeoGuide0233";"GeoGuide0228";"Politische Geographie, Geopolitik";"lkl=qei 000";"Political Geography, Geopolitics"
"GeoGuide0234";"GeoGuide0228";"Historische Geographie";"lkl=qek 000";"Historical Geography"
"GeoGuide0235";"GeoGuide0228";"Siedlungsgeographie";"lkl=qen 000";"Urban Geography, Settlement Geography"
"GeoGuide0236";"GeoGuide0228";"Wirtschaftsgeographie";"lkl=qer 000";"Economic Geography"
"GeoGuide0237";"GeoGuide0011";"Angewandte Geographie";"lkl=qf 000";"Applied Geography"
"GeoGuide0238";"GeoGuide0237";"Angewandte PhysikalischeGeographie";"lkl=qfc 000";"Applied Physical Geography"
"GeoGuide0239";"GeoGuide0237";"Raumordnung/Raumplanung";"lkl=qfg 000";"Regional Planning"
"GeoGuide0240";"GeoGuide0237";"Entwicklungsländerforschung";"lkl=qfk 000";"Developing Countries Studies"
"GeoGuide0241";"GeoGuide0011";"Regionale Geographie";"lkl=qg 000";"Regional Geography"
"GeoGuide0242";"GeoGuide0241";"Gesamte Erde";"lkl=qg 100";"Earth as a Whole"
"GeoGuide0243";"GeoGuide0241";"Landschaftsgürtel und Großlandschaften der Erde {Geographie}";"lkl=qg 300";"Landscapes and Large Areas of Earth"
"GeoGuide0244";"GeoGuide0241";"Europa {Geographie}";"lkl=qga 000";"Europe {Geography}"
"GeoGuide0245";"GeoGuide0241";"Asien {Geographie}";"lkl=qgh 000";"Asia {Geography}"
"GeoGuide0246";"GeoGuide0241";"Afrika {Geographie}";"lkl=qgn 000";"Africa {Geography}"
"GeoGuide0247";"GeoGuide0241";"Amerika {Geographie}";"lkl=qgv 000";"America {Geography}"
"GeoGuide0248";"GeoGuide0241";"Nordamerika {Geographie}";"lkl=qgw 000";"North America {Geography}"
"GeoGuide0249";"GeoGuide0241";"Mittel- und Südamerika {Geographie}";"lkl=qgx 000";"Central and South America {Geography}"
"GeoGuide0250";"GeoGuide0241";"Australien und Ozeanien {Geographie}";"lkl=qgy 000";"Australia and Oceania {Geography}"
"GeoGuide0251";"GeoGuide0241";"Polargebiete {Geographie}";"lkl=qgz 100";"Polar Zone {Geography}"
"GeoGuide0252";"GeoGuide0241";"Meeresräume {Geographie}";"lkl=qgz 500";"Oceans {Geography}"
"GeoGuide0012";"GeoGuide";"Kartographie";"lkl=ut 000";"Cartography"
"GeoGuide0253";"GeoGuide0012";"Kartographie im Allgemeinen";"lkl=uu 000";"General Cartography"
"GeoGuide0254";"GeoGuide0012";"Geschichte der Kartographie";"lkl=uub 000";"History of Cartography"
"GeoGuide0255";"GeoGuide0012";"Thematische Kartographie";"lkl=uwe 000";"Thematic Cartography"
"GeoGuide0256";"GeoGuide0012";"Kartographie einzelner Regionen";"lkl=uy 000";"Regional Cartography"
"GeoGuide0013";"GeoGuide";"Karten";"lkl=uqa 000";"Maps"
"GeoGuide0257";"GeoGuide0013";"Karten zu den Geisteswissenschaften";"lkl=uqb 000";"Maps: Humanities"
"GeoGuide0258";"GeoGuide0013";"Karten zu Religionswissenschaft, Theologie";"lkl=uqb 200";"Maps: Religious Science, Theology"
"GeoGuide0259";"GeoGuide0013";"Karten zur Geschichte";"lkl=uqc 000";"Maps: History"
"GeoGuide0260";"GeoGuide0013";"Karten zu den allgemeinen Sprachwissenschaften";"lkl=uqd 000";"Maps: General Linguistics"
"GeoGuide0261";"GeoGuide0013";"Karten zu Kunst, Theater, Musik";"lkl=uqd 900";"Maps: Art, Theater, and Music"
"GeoGuide0262";"GeoGuide0013";"Karten zu den Exakten Wissenschaften";"lkl=uqe 000";"Maps: Exact Sciences"
"GeoGuide0263";"GeoGuide0013";"Karten zu den Geowissenschaften";"lkl=uqf 000";"Maps: Earth Science"
"GeoGuide0264";"GeoGuide0263";"Karten zur Geophysik";"lkl=uqf 200";"Maps: Geophysics"
"GeoGuide0265";"GeoGuide0263";"Karten zur Meteorologie und Klimatologie";"lkl=uqf 600";"Maps: Meteorology and Climatology"
"GeoGuide0266";"GeoGuide0263";"Karten zur Geologie";"lkl=uqg 000";"Maps: Geology"
"GeoGuide0267";"GeoGuide0263";"Karten zur Mineralogie und Gemologie";"lkl=uqi 100";"Maps: Mineralogy and Gemology"
"GeoGuide0268";"GeoGuide0263";"Karten zur Geochemie";"lkl=uqi 300";"Maps: Geochemistry"
"GeoGuide0269";"GeoGuide0263";"Karten zur Petrologie";"lkl=uqi 500";"Maps: Petrology"
"GeoGuide0270";"GeoGuide0263";"Karten zur Bodenkunde";"lkl=uqi 700";"Maps: Soil Science"
"GeoGuide0271";"GeoGuide0263";"Karten zur Lagerstättenkunde, Geologie der Minerallagerstätten";"lkl=uqj 000";"Maps: Economic Geology, Geology of Mineral Deposits"
