PPN;level;GOK;parent;DE;query;EN;
GEOLEO00760;5;GEOLEO00760;GEOLEO00590;Karstkunde {Geomorphologie};lkl=QDB 500 or (fbg=DK 551.435.8*);Karstology {Geomorphology};
GEOLEO00770;5;GEOLEO00770;GEOLEO00590;Moorkunde;lkl=QDB 550 or (fbg=DK 551.312.2* or fbg=DK 556.56*);Telmatology, Mire Research;
GEOLEO00780;5;GEOLEO00780;GEOLEO00590;Glazialmorphologie;lkl=QDB 600 or (fbg=DK 551.435.4* or fbg=DK 551.32*);Glacier Morphology;
GEOLEO00830;5;GEOLEO00830;GEOLEO00590;Küstenmorphologie;lkl=QDB 700 or (fbg=DK 551.351* or fbg=DK 551.4.038* or fbg=DK 551.468*);Coastal Morphology;
GEOLEO00840;5;GEOLEO00840;GEOLEO00590;Submarine Geomorphologie;lkl=QDB 750 or (fbg=DK 551.462*);Submarine Geomorphology;
GEOLEO00850;5;GEOLEO00850;GEOLEO00590;Angewandte Geomorphologie;lkl=QDB 800 or (fbg=DK 551.4.08*);Applied Geomorphology;
GEOLEO00860;2;GEOLEO00860;GEOLEO00020;Klimageographie;lkl=QDC 000 or (fbg=DK 551.4.06* or fbg=DK 551.581* or fbg=DK 551.582*);Climatic Geography;
GEOLEO00870;3;GEOLEO00870;GEOLEO00860;Separative Klimageographie {Einzelelemente der Klimageographie;lkl=QDC 100 or (fbg=DK 551.584*);Separative Climate Geography {Particular Climate Elements};
GEOLEO00880;3;GEOLEO00880;GEOLEO00860;Synoptische Klimageographie {Druckgebilde, Fronten, Wetterlagen und -typen, Jahreszeiten etc.};lkl=QDC 200 or (fbg=DK 551.589*);Synoptic Climate Geography {Air Pressure, Fronts, Weather Types, Seasons etc.};
GEOLEO00890;3;GEOLEO00890;GEOLEO00860;Allgemeine Zirkulation der Atmosphäre;lkl=QDC 300 or (fbg=DK 551.513*);General Circulation of Atmosphere;
GEOLEO00900;3;GEOLEO00900;GEOLEO00860;Allgemeine Klimatypen;lkl=QDC 400 or (fbg=DK 551.581* or fbg=DK 551.585*);General Climate Types;
GEOLEO00910;4;GEOLEO00910;GEOLEO00900;Maritimität und Kontinalität;lkl=QDC 410 or ((fbg=DK 551.46* or fbg=DK 91*) and (fbg=DK 551.5*));Maritimity {Oceanicity} and Continentality;
GEOLEO00920;4;GEOLEO00920;GEOLEO00900;Klima und Relief, Gebirgsklima;lkl=QDC 420 or ((fbg=DK 551.4.03*) and (fbg=DK 551.5*));Climate and Relief in the Meaning of Mountain Climate;
GEOLEO00930;4;GEOLEO00930;GEOLEO00900;Klima der bodennahen Luftschicht/Geländeklima;lkl=QDC 430 or (fbg=DK 551.584* or fbg=DK 551.510.522*);Climate of the Ground Based Air Layer/Ground Climate;
GEOLEO00940;4;GEOLEO00940;GEOLEO00900;Bestandsklima, Waldklima;lkl=QDC 440 or (fbg=DK 551.584.3 or fbg=DK 551.584.4 or fbg=DK 630.11);Forrest Climate, Microclimate;
GEOLEO00950;4;GEOLEO00950;GEOLEO00900;Stadtklima;lkl=QDC 450 or ((fbg=DK 551.5*) and (fbg=DK 911.375) or (fbg=DK 551.584.5));Urban Climate;
GEOLEO00960;4;GEOLEO00960;GEOLEO00900;Bioklimate, Heilklimate;lkl=QDC 460 or (fbg=DK 551.586);Bioclimate, Healthy Climate;
GEOLEO00970;3;GEOLEO00970;GEOLEO00860;Klassifikation der Klimate;lkl=QDC 500 or (fbg=DK 511.581* or fbg=DK 551.585*);Climate Classification;
GEOLEO00980;3;GEOLEO00980;GEOLEO00860;Klimaschwankungen;lkl=QDC 600 or (fbg=DK 551.583*);Climate Variations;
GEOLEO00990;3;GEOLEO00990;GEOLEO00860;Beeinflussung der Klimas durch den Menschen;lkl=QDC 700 or ((fbg=DK 504.05) and (fbg=DK 551.5*));Artificial Influences of Climate;
GEOLEO01000;3;GEOLEO01000;GEOLEO00860;greenhouse effect, global change;lkl=QDC 800 or (fbg=DK 551.583*);Greenhouse Effect, Global Change;
GEOLEO01010;3;GEOLEO01010;GEOLEO00860;Angewandte Klimatologie Hydrogeographie;lkl=QDC 900 or (fbg=DK 551.58*);Applied Climatology and Hydrology;
GEOLEO01020;2;GEOLEO01020;GEOLEO00020;Bodengeographie;lkl=QDH 000 or (fbg=DK 631.4);Soil Geography;
GEOLEO01030;3;GEOLEO01030;GEOLEO01020;Allgemeine Bodenkunde {physikalische, chemische und biologische Eigenschaften der Böden};lkl=QDH 100 or (fbg=DK 631.41*);General Pedology {Physical, Chemical, and Biological Properties of Soil};
GEOLEO01040;3;GEOLEO01040;GEOLEO01020;Spezielle Bodenkunde {Klassifikation, Benennung, Bodentypen etc.};lkl=QDH 200 or (fbg=DK 631.44*);Specific Applications in Pedology {Classification, Terms, and Types of Soil};
GEOLEO01050;3;GEOLEO01050;GEOLEO01020;Angewandte Bodenkunde {Bodenschätzung, Bodenmelioration, Bodenzerstärung etc};lkl=QDH 300 or (fbg=DK 631.42*);Applied Pedology {Soil Estimation, Soil Improvement, and Soil Destruction};
GEOLEO01060;3;GEOLEO01060;GEOLEO01020;Regionale Bodenkunde;lkl=QDH 400 or ((fbg=DK 631.4*) and (fbg=DK 91*));Regional Pedology;
GEOLEO01070;2;GEOLEO01070;GEOLEO00020;Biogeographie;lkl=QDJ 000 or (fbg=DK 574.9);Biogeography;
GEOLEO01080;3;GEOLEO01080;GEOLEO01070;Vegetationsgeographie;lkl=QDK 000 or (fbg=DK 581.9);Vegetation Geography, Phytogeography;
GEOLEO01090;3;GEOLEO01090;GEOLEO01070;Tiergeographie;lkl=QDL 000 or (fbg=DK 591.9);Animal Geography, Zoogeography;
GEOLEO01100;2;GEOLEO01100;GEOLEO00020;Allgemeine Naturlandschaftskunde;lkl=QDN 000 or (fbg=DK 504.54 or fbg=DK 712*);Landscape Ecology, Geoecology;
GEOLEO01110;3;GEOLEO01110;GEOLEO01100;Landschaftstypologie, Landschaftssystematik;lkl=QDN 100 or (fbg=DK 712*);Landscape Types and Systematics;
GEOLEO01120;4;GEOLEO01120;GEOLEO01110;Landschaftselemente {Geographie};lkl=QDN 120 or (fbg=DK 551.4.03 or fbg=DK 551.43*);Landscape Elements {Geography};
GEOLEO01130;4;GEOLEO01130;GEOLEO01110;Methoden der Gliederung {Geographie: Landschaftstypologie};lkl=QDN 140 or (fbg=DK 551.4.03);Methods of Subdivision {Geography: Landscapes Types};
