PPN;level;GOK;parent;DE;query;EN;
GEOLEO03240;4;GEOLEO03240;GEOLEO03190;Westeuropa im Sinn von Kapitalistisches Europa {Geographie};lkl=QGA 100 or ((fbg=DK 914.4* or fbg=DK 914.93* or fbg=DK 914.92* or fbg=DK 914.359* or fbg=DK 914.1* or fbg=DK 914.2*) and (fbg=DK 911*));Western Europe {means: Capitalist Countries} {Geography};
GEOLEO03250;4;GEOLEO03250;GEOLEO03190;Europäische Gemeinschaft {Geographie};lkl=QGA 200 or ((fbg=DK 914) and (fbg=DK 911*));European Community {Geography};
GEOLEO03260;4;GEOLEO03260;GEOLEO03190;Mitteleuropa {Geographie};lkl=QGB 000 or ((fbg=DK 914.3* or fbg=DK 914.94* or fbg=DK 914.971.2*) and (fbg=DK 911*));Central Europe {Geography};
GEOLEO03270;5;GEOLEO03270;GEOLEO03260;Deutschland {Geographie};lkl=QGB 100 or ((fbg=DK 914.30* or fbg=DK 914.321) and (fbg=DK 911*));Germany {Geography};
GEOLEO03280;6;GEOLEO03280;GEOLEO03270;Physische Geographie Deutschlands;lkl=QGB 102 or ((fbg=DK 914.30* or fbg=DK 914.321) and (fbg=DK 911.2*));Physical Geography {Germany};
GEOLEO03290;6;GEOLEO03290;GEOLEO03270;Kulturgeographie Deutschlands;lkl=QGB 104 or ((fbg=DK 914.30* or fbg=DK 914.321) and (fbg=DK 911.3*));Cultural Geography {Germany};
GEOLEO03300;6;GEOLEO03300;GEOLEO03270;Angewandte Geographie Deutschlands;lkl=QGB 106 or ((fbg=DK 914.30* or fbg=DK 914.321) and (fbg=DK 911*));Applied Geography {Germany};
GEOLEO03310;6;GEOLEO03310;GEOLEO03270;Teilfragen zu Deutschland {Geographie};lkl=QGB 108 or ((fbg=DK 914.30* or fbg=DK 914.321) and (fbg=DK 911*));Particular Questions {Germany};
GEOLEO03320;7;GEOLEO03320;GEOLEO04060;Bundesrepublik Deutschland in den Grenzen bis 1989 {Geographie};lkl=QGB 120 or ((fbg=DK 914.30* or fbg=DK 914.321) and (fbg=DK 911*));Federal Republic of Germany, Border till 1989 {Geography};
GEOLEO03330;8;GEOLEO03330;GEOLEO03320;Teilfragen zu Bundesrepublik Deutschland in den Grenzen bis 1989 {Geographie};lkl=QGB 122 or ((fbg=DK 914.30* or fbg=DK 914.321) and (fbg=DK 911*));Particular Questions {Federal Republic of Germany, Border till 1989};
GEOLEO03340;7;GEOLEO03340;GEOLEO04060;Deutsche Demokratische Republik in den Grenzen bis 1989 {Geographie};lkl=QGB 140 or ((fbg=DK 914.302 or fbg=DK 914.321) and (fbg=DK 911*));German Democratic Republic, Border till 1989 {Geography};
GEOLEO03350;8;GEOLEO03350;GEOLEO03340;Teilfragen zu Deutsche Demokratische Republik in den Grenzen bis 1989 {Geographie};lkl=QGB 142 or ((fbg=DK 914.302 or fbg=DK 914.321) and (fbg=DK 911*));Particular Questions {German Democratic Republic, Border till 1989};
GEOLEO03360;6;GEOLEO03360;GEOLEO03270;Deutschland - Physiogeographische Gliederung -;lkl=QGB 200 or ((fbg=DK 914.30* or fbg=DK 914.321) and (fbg=DK 911*));Federal Republic of Germany -  Physio Geographic Distribution {Geography};
GEOLEO03370;7;GEOLEO03370;GEOLEO03360;Norddeutsches Tiefland {Geographie};lkl=QGB 210 or ((fbg=DK 914.30BE/BB or fbg=DK 914.30MV or fbg=DK 914.30SH/HH or fbg=DK 914.30SA or fbg=DK 914.30NI/HB or fbg=DK 914.30NW) and (fbg=DK 911*));North German Lowland {Geography};
GEOLEO03380;8;GEOLEO03380;GEOLEO03370;Deutsches Nordseeküstengebiet, Halligen {Geographie};lkl=QGB 211 or ((fbg=DK 913(261.262) or fbg=DK 914.30*) and (fbg=DK 913(260.4) or fbg=DK 913(260.5)) and (fbg=DK 911*));German North Sea Coast, Hallig {Geography};
GEOLEO03390;9;GEOLEO03390;GEOLEO03380;Helgoland {Geographie};lkl=QGB 213 or ((fbg=DK 914.30) and (fbg=DK 551.42) and (fbg=DK 911*));Helgoland {Geography};
GEOLEO03400;9;GEOLEO03400;GEOLEO03380;Ostfriesische Inseln {Geographie};lkl=QGB 214 or ((fbg=DK 914.31) and (fbg=DK 551.43) and (fbg=DK 911*));East Frisian Islands {Geography};
GEOLEO03410;9;GEOLEO03410;GEOLEO03380;Wattenmeer {Geographie};lkl=QGB 215 or ((fbg=DK 914.32) and (fbg=DK 551.44) and (fbg=DK 911*));Mud Flats, Tideland {Geography};
GEOLEO03420;9;GEOLEO03420;GEOLEO03380;Nordseemarschen {Geographie};lkl=QGB 216 or ((fbg=DK 914.33) and (fbg=DK 551.45) and (fbg=DK 911*));North Sea Marshlands {Geography};
GEOLEO03430;7;GEOLEO03430;GEOLEO03360;Baltischer Landrücken und Vorland {Geographie};lkl=QGB 220 or ((fbg=DK 911*) and (fbg=DK 914.74*));Baltic Ridge and Foreland {Geography};
GEOLEO03440;8;GEOLEO03440;GEOLEO03430;Deutsches Ostseeküstengebiet {Geographie};lkl=QGB 221 or ((fbg=DK 914.30SH/HH or fbg=DK 914.30MV) and (fbg=DK 913(261.24* or fbg=DK 913(260.4)) and (fbg=DK 911*));German Baltic Sea Coast {Geography};
GEOLEO03450;9;GEOLEO03450;GEOLEO03440;Schleswig-Holsteinischer Abschnitt {Geographie};lkl=QGB 223 or ((fbg=DK 914.30SH/HH) and (fbg=DK 911*));Schleswig-Holstein Sector {Geography};
GEOLEO03460;9;GEOLEO03460;GEOLEO03440;Mecklenburgisch-Vorpommerscher Abschnitt {Geographie};lkl=QGB 224 or ((fbg=DK 911*) and (fbg=DK 914.30MV));Mecklenburg-Vorpommern Sector {Geography};
GEOLEO03470;9;GEOLEO03470;GEOLEO03440;Pommerscher und Westpreuß ischer Abschnitt {Geographie};lkl=QGB 225 or ((fbg=DK 914.30MV) and (fbg=DK 911*));Pomeranian and West Prussian Sector {Geography};
GEOLEO03480;9;GEOLEO03480;GEOLEO03440;Ostpreußischer Abschnitt {Geographie};lkl=QGB 226 or ((fbg=DK 911*) and (fbg=DK 914.3816*));East Prussian Sector {Geography};
GEOLEO03490;7;GEOLEO03490;GEOLEO03360;Nordwestdeutsches Tiefland {Geographie};lkl=QGB 230 or ((fbg=DK 914.30SH/HH or fbg=DK 914.30NI/HB or fbg=DK 914.30NW) and (fbg=DK 911*));Northwest German Lowland {Geography};
GEOLEO03500;8;GEOLEO03500;GEOLEO03490;Staader Geest {Geographie};lkl=QGB 232 or ((fbg=DK 914.30SH/HH or fbg=DK 914.30NI/HB or fbg=DK 914.30NW) and (fbg=DK 911*));Staader Geest {Geography};
GEOLEO03510;8;GEOLEO03510;GEOLEO03490;Ostfriesisch-Oldenburgische Geest {Geographie};lkl=QGB 233 or ((fbg=DK 914.30SH/HH or fbg=DK 914.30NI/HB or fbg=DK 914.30NW) and (fbg=DK 911*));Ostfriesisch-Oldenburgische Geest {Geography};
GEOLEO03520;8;GEOLEO03520;GEOLEO03490;Ems-Hunte-Geest {Geographie};lkl=QGB 234 or ((fbg=DK 914.30SH/HH or fbg=DK 914.30NI/HB or fbg=DK 914.30NW) and (fbg=DK 911*));Ems-Hunte-Geest {Geography};
GEOLEO03530;8;GEOLEO03530;GEOLEO03490;Weser-Aller-Flachland {Geographie};lkl=QGB 235 or ((fbg=DK 914.30SH/HH or fbg=DK 914.30NI/HB or fbg=DK 914.30NW) and (fbg=DK 911*));Weser-Aller-Flachland, Weser-Aller-Lowland {Geography};
GEOLEO03540;8;GEOLEO03540;GEOLEO03490;Lüneburger Heide {Geographie};lkl=QGB 236 or ((fbg=DK 914.30SH/HH or fbg=DK 914.30NI/HB or fbg=DK 914.30NW) and (fbg=DK 911*));Lüneburg Heath {Geography};
GEOLEO03550;7;GEOLEO03550;GEOLEO03360;Mittelelbisches Tiefland {Geographie};lkl=QGB 240 or ((fbg=DK 914.30SN or fbg=DK 914.30SA) and (fbg=DK 911*));Mittelelbisches Tiefland, Central Elbe Lowland {Geography};
GEOLEO03560;8;GEOLEO03560;GEOLEO03550;Mittelelbe-Niederung {Geographie};lkl=QGB 242 or ((fbg=DK 914.30SN or fbg=DK 914.30SA) and (fbg=DK 911*));Mittelelbe-Niederung {Central Elbe Low} {Geography};
GEOLEO03570;8;GEOLEO03570;GEOLEO03550;Altmark {Geographie};lkl=QGB 243 or ((fbg=DK 911*) and (fbg=DK 914.30SA));Altmark {Geography};
GEOLEO03580;8;GEOLEO03580;GEOLEO03550;Magdeburger Börde {Geographie};lkl=QGB 244 or ((fbg=DK 911*) and (fbg=DK 914.30SA));Magdeburger Boerde {Geography};
GEOLEO03590;8;GEOLEO03590;GEOLEO03550;Sächsische Tieflandsbucht {Geographie};lkl=QGB 245 or ((fbg=DK 914.30SN or fbg=DK 914.321) and (fbg=DK 911*));Saechsische Tieflandsbucht, Saxonian Lowland {Geography};
GEOLEO03600;7;GEOLEO03600;GEOLEO03360;Ostdeutsches Tiefland, ostelbisches Tiefland {Geographie};lkl=QGB 250 or ((fbg=DK 914.30SN or fbg=DK 914.321) and (fbg=DK 911*));East German Lowland, East Elbe Lowland {Geography};
GEOLEO03610;8;GEOLEO03610;GEOLEO03600;Mittleres Flachland, Urstromtäler und Diluvialplatten {Geographie};lkl=QGB 252 or ((fbg=DK 914.30SA or fbg=DK 914.30SN or fbg=DK 914.30BE/BB) and (fbg=DK 911*));Central Lowland, Glacial Valley, Diluvial Plates {Geography};
GEOLEO03620;8;GEOLEO03620;GEOLEO03600;Südlicher Landrücken, Fläming, Niederlausitzer u. Niederschlesische Heide {Geographie};lkl=QGB 253 or ((fbg=DK 914.30SN or fbg=DK 914.30BE/BB) and (fbg=DK 911*));Southern Ridge, Flaeming, Niederlausitzer und Niederschlesische Heide {Geography};
GEOLEO03630;8;GEOLEO03630;GEOLEO03600;Schlesische Tieflandsbucht {Geographie};lkl=QGB 254 or ((fbg=DK 911*) and (fbg=DK 914.38));Silesian Lowland {Geography};
GEOLEO03640;7;GEOLEO03640;GEOLEO03360;Nördliches Mittelgebirgsvorland {Geographie};lkl=QGB 260 or ((fbg=DK 911*) and (fbg=DK 914.30));Northern Low Mountain Range Foreland {Geography};
GEOLEO03650;8;GEOLEO03650;GEOLEO03640;Niederrheinisches Gebiet {Geographie};lkl=QGB 262 or ((fbg=DK 911*) and (fbg=DK 914.30));Lower Rhine Region {Geography};
GEOLEO03660;8;GEOLEO03660;GEOLEO03640;Westfälische Tieflandsbucht {Geographie};lkl=QGB 263 or ((fbg=DK 911*) and (fbg=DK 914.30));Westphalian Lowland {Geography};
GEOLEO03670;8;GEOLEO03670;GEOLEO03640;Niedersächsische Börden {Geographie};lkl=QGB 264 or ((fbg=DK 911*) and (fbg=DK 914.30NI/HB));Niedersaechsische Boerden, Lower Saxonian Boerde {Geography};
GEOLEO03680;8;GEOLEO03680;GEOLEO03640;Nördl. u. östl. Harzvorland {Geographie};lkl=QGB 265 or ((fbg=DK 911*) and (fbg=DK 914.30SA));Northern and Eastern Harz Foreland {Geography};
GEOLEO03690;8;GEOLEO03690;GEOLEO03640;Thüringer Becken {Geographie};lkl=QGB 266 or ((fbg=DK 911*) and (fbg=DK 914.30TH));Thuringian Basin {Geography};
GEOLEO03700;8;GEOLEO03700;GEOLEO03640;Sächsisches Hügelland {Geographie};lkl=QGB 267 or ((fbg=DK 914.30SN or fbg=DK 914.321) and (fbg=DK 911*));Saechsisches Hügelland, Saxonian Hilly Country {Geography};
GEOLEO03710;8;GEOLEO03710;GEOLEO03640;Obersächsische Börden {Geographie};lkl=QGB 268 or ((fbg=DK 914.30SN or fbg=DK 914.322) and (fbg=DK 911*));Obersaechsische Boerde, Upper Saxonian Boerde {Geography};
GEOLEO03720;8;GEOLEO03720;GEOLEO03640;Oberlausitz {Geographie};lkl=QGB 269 or ((fbg=DK 914.30SN or fbg=DK 914.323) and (fbg=DK 911*));Oberlausitz - Upper Lusatia {Geography};
GEOLEO03730;7;GEOLEO03730;GEOLEO03360;Mitteldeutsche Gebirgsschwelle {Geographie};lkl=QGB 270 or ((fbg=DK 911*) and (fbg=DK 914.30));Mitteldeutsche Gebirgsschwelle, Central German Mountain Rigde {Geography};
GEOLEO03740;8;GEOLEO03740;GEOLEO03730;Rheinisches Schiefergebirge {Geographie};lkl=QGB 271 or ((fbg=DK 911*) and (fbg=DK 913(234.51)));Rhenish Schiefergebirge {Geography};
GEOLEO03750;8;GEOLEO03750;GEOLEO03730;Hessisches Bergland {Geographie};lkl=QGB 272 or ((fbg=DK 911*) and (fbg=DK 913(234.54)));Hessisches Bergland, Hesse Mountains {Geography};
GEOLEO03760;8;GEOLEO03760;GEOLEO03730;Niedersächsisches Bergland, Weserbergland, Leinebergland mit Eichsfeld {Geographie};lkl=QGB 273 or ((fbg=DK 911*) and (fbg=DK 913(234.53*));Niedersaechsisches Bergland, Lower Saxonian Mountains {Geography};
GEOLEO03770;8;GEOLEO03770;GEOLEO03730;Harz {Geographie};lkl=QGB 274 or ((fbg=DK 911*) and (fbg=DK 913(234.539)));Harz Mountains {Geography};
GEOLEO03780;8;GEOLEO03780;GEOLEO03730;Thüringer Wald und Frankenwald {Geographie};lkl=QGB 275 or ((fbg=DK 911*) and (fbg=DK 913(234.55*));Thuringian Forest and Franconian Forest {Geography};
GEOLEO03790;8;GEOLEO03790;GEOLEO03730;Thüringer Becken und Umrahmung {Geographie};lkl=QGB 276 or ((fbg=DK 911*) and (fbg=DK 914.30TH));Thuringian Basin and Surrounding {Geography};
GEOLEO03800;8;GEOLEO03800;GEOLEO03730;Sächsisches Bergland {Geographie};lkl=QGB 277 or ((fbg=DK 911*) and (fbg=DK 913(234.56*));Saxonian Mountains {Geography};
GEOLEO03810;8;GEOLEO03810;GEOLEO03730;Sudeten und Vorland {Geographie};lkl=QGB 278 or ((fbg=DK 911*) and (fbg=DK 913(234.57*));Sudeten and Foreland {Geography};
GEOLEO03820;7;GEOLEO03820;GEOLEO03360;Süddeutsches Bergland {Geographie};lkl=QGB 280 or ((fbg=DK 911*) and (fbg=DK 913(234.54*));Sueddeutsches Bergland, South German Mountain Region {Geography};
GEOLEO03830;8;GEOLEO03830;GEOLEO03820;Rheinpfälzisches Bergland {Geographie};lkl=QGB 281 or ((fbg=DK 911*) and (fbg=DK 913(234.52*));Rheinpfaelzisches Bergland, Palatinate Mountain Region {Geography};
GEOLEO03840;8;GEOLEO03840;GEOLEO03820;Oberrheinisches Tiefland {Geographie};lkl=QGB 282 or ((fbg=DK 911*) and (fbg=DK 914.30BW));Oberrheinisches Tiefland, Upper Rhenish Lowland {Geography};
GEOLEO03850;8;GEOLEO03850;GEOLEO03820;Oberrheinisches Randgebirge, Schwarzwald, Odenwald, Spessart, Vogesen, Pfälzer Wald {Geographie};lkl=QGB 283 or ((fbg=DK 911*) and (fbg=DK 913(234.52*));Black Forest, Odenwald, Spessart, and Palatine Forest {Geography};
GEOLEO03860;8;GEOLEO03860;GEOLEO03820;Schwäbisch-Fränkisches Stufenland {Geographie};lkl=QGB 284 or ((fbg=DK 911*) and (fbg=DK 913(234.54*));Swabian and Franconian Mountains {Geography};
GEOLEO03870;8;GEOLEO03870;GEOLEO03820;Schwäbische Alb {Geographie};lkl=QGB 285 or ((fbg=DK 911*) and (fbg=DK 913(234.547)));Swabian Alb {Geography};
GEOLEO03880;8;GEOLEO03880;GEOLEO03820;Fränkische Alb {Geographie};lkl=QGB 286 or ((fbg=DK 911*) and (fbg=DK 913(234.548)));Franconian Jura {Geography};
GEOLEO03890;8;GEOLEO03890;GEOLEO03820;Oberpfälzer Senke {Geographie};lkl=QGB 287 or ((fbg=DK 911*) and (fbg=DK 914.30RP));Upper Palatine Basin {Geography};
GEOLEO03900;8;GEOLEO03900;GEOLEO03820;Oberpfälzer- und Bayerischer Wald {Geographie};lkl=QGB 288 or ((fbg=DK 913(234.555) or fbg=DK 913(234.521)) and (fbg=DK 911*));Upper Palatine and Bavarian Forest {Geography};
GEOLEO03910;7;GEOLEO03910;GEOLEO03360;Deutsches Alpenvorland {Geographie};lkl=QGB 290 or ((fbg=DK 911*) and (fbg=DK 913(234.54*));German Foothills of the Alps {Geography};
GEOLEO03920;8;GEOLEO03920;GEOLEO03910;Bodenseegebiet {Geographie};lkl=QGB 291 or ((fbg=DK 911*) and (fbg=DK 914.30BW));Lake Constance Region {Geography};
GEOLEO03930;8;GEOLEO03930;GEOLEO03910;Allgäu {Geographie};lkl=QGB 292 or ((fbg=DK 911*) and (fbg=DK 913(234.54*));Allgaeu {Geography};
GEOLEO03940;8;GEOLEO03940;GEOLEO03910;Vorland westlich d. Allgäus {Geographie};lkl=QGB 293 or ((fbg=DK 911*) and (fbg=DK 913(234.54*));Foreland West of Allgaeu {Geography};
GEOLEO03950;7;GEOLEO03950;GEOLEO03360;Deutsche Alpen {Geographie};lkl=QGB 295 or ((fbg=DK 911*) and (fbg=DK 914.30) and (fbg=DK 913(234.3*));German Alps {Geography};
GEOLEO03960;6;GEOLEO03960;GEOLEO03270;Deutschland - Gliederung nach Flußgebieten- {Geographie};lkl=QGB 300 or ((fbg=DK 556.53* or fbg=DK 913(282.243)) and (fbg=DK 914.30*));Germany - Geographical Division for River Basin {Geography};
GEOLEO03970;7;GEOLEO03970;GEOLEO03960;Donaugebiet {Geographie};lkl=QGB 310 or (fbg=DK 913(282.243.7*);Danube Basin {Geography};
GEOLEO03980;7;GEOLEO03980;GEOLEO03960;Elbegebiet {Geographie};lkl=QGB 315 or (fbg=DK 913(282.243.3*);Elbe Basin {Geography};
GEOLEO03990;7;GEOLEO03990;GEOLEO03960;Inngebiet {Geographie};lkl=QGB 320 or (fbg=DK 913(282.243.723));Inn Basin {Geography};
GEOLEO04000;7;GEOLEO04000;GEOLEO03960;Maingebiet {Geographie};lkl=QGB 325 or (fbg=DK 913(282.243.147));Main Basin {Geography};
GEOLEO04010;7;GEOLEO04010;GEOLEO03960;Neckargebiet {Geographie};lkl=QGB 330 or (fbg=DK 913(282.243.146));Neckar Basin {Geography};
GEOLEO04020;7;GEOLEO04020;GEOLEO03960;Odergebiet {Geographie};lkl=QGB 335 or (fbg=DK 913(282.243.5));Oder Basin {Geography};
GEOLEO04030;7;GEOLEO04030;GEOLEO03960;Rheingebiet {Geographie};lkl=QGB 340 or (fbg=DK 913(282.243.1*);Rhine Basin {Geography};
GEOLEO04040;7;GEOLEO04040;GEOLEO03960;Saalegebiet {Geographie};lkl=QGB 345 or (fbg=DK 913(282.243.35));Saale Basin {Geography};
GEOLEO04050;7;GEOLEO04050;GEOLEO03960;Wesergebiet {Geographie};lkl=QGB 350 or (fbg=DK 913(282.243.22));Weser Basin {Geography};
GEOLEO04060;6;GEOLEO04060;GEOLEO03270;Bundesrepublik Deutschland - administrative Gliederung - {in den Grenzen nach 1989};lkl=QGB 400 or ((fbg=DK 914.321* or fbg=DK 914.30) and (fbg=DK 911*));Federal Republic of Germany - Administrative Distribution, Bordern after 1989 {Geography};
GEOLEO04070;7;GEOLEO04070;GEOLEO04060;Physische Geographie der Bundesrepublik Deutschland;lkl=QGB 402 or ((fbg=DK 911.2*) and (fbg=DK 914.30));Physical Geography of Federal Republic of Germany;
GEOLEO04080;7;GEOLEO04080;GEOLEO04060;Kulturgeographie der Bundesrepublik Deutschland;lkl=QGB 404 or ((fbg=DK 911.3) and (fbg=DK 914.30));Cultural Geography of Federal Republic of Germany;
GEOLEO04090;7;GEOLEO04090;GEOLEO04060;Angewandte Geographie der Bundesrepublik Deutschland;lkl=QGB 406 or ((fbg=DK 911*) and (fbg=DK 914.30));Applied Geography of Federal Republic of Germany;
GEOLEO04100;7;GEOLEO04100;GEOLEO04060;Teilfragen zur regionalen Geographie der Bundesrepublik Deutschland;lkl=QGB 408 or ((fbg=DK 911*) and (fbg=DK 914.30));Particular Question to Federal Republic of Germany {Geography};
GEOLEO04110;7;GEOLEO04110;GEOLEO04060;Teilregionen der Bundesrepublik Deutschland <Geographie};lkl=QGB 409 or ((fbg=DK 911*) and (fbg=DK 914.30));Particular Region of Federal Republic of Germany {Geography};
GEOLEO04120;7;GEOLEO04120;GEOLEO04060;Norddeutschland {Geographie};lkl=QGB 410 or ((fbg=DK 914.30NI/HB or fbg=DK 914.30SH/HH or fbg=DK 914.30MV) and (fbg=DK 911*));North Germany {Geography};
GEOLEO04130;8;GEOLEO04130;GEOLEO04120;Physische Geographie Norddeutschlands;lkl=QGB 411 or ((fbg=DK 914.30NI/HB or fbg=DK 914.30SH/HH or fbg=DK 914.30MV) and (fbg=DK 911.2*));Physical Geography of North Germany;
GEOLEO04140;8;GEOLEO04140;GEOLEO04120;Kulturgeographie Norddeutschlands;lkl=QGB 412 or ((fbg=DK 914.30NI/HB or fbg=DK 914.30SH/HH or fbg=DK 914.30MV) and (fbg=DK 911.3));Cultural Geography of North Germany;
GEOLEO04150;8;GEOLEO04150;GEOLEO04120;Angewandte Geographie Norddeutschlands;lkl=QGB 413 or ((fbg=DK 914.30NI/HB or fbg=DK 914.30SH/HH or fbg=DK 914.30MV) and (fbg=DK 911*));Applied Geography of North Germany;
GEOLEO04160;8;GEOLEO04160;GEOLEO04120;Teilfragen zu Norddeutschland {Geographie};lkl=QGB 414 or ((fbg=DK 914.30NI/HB or fbg=DK 914.30SH/HH or fbg=DK 914.30MV) and (fbg=DK 911*));Particular Question to North Germany {Geography};
GEOLEO04170;8;GEOLEO04170;GEOLEO04120;Nordwestdeutschland {Geographie};lkl=QGB 415 or ((fbg=DK 914.30NI/HB or fbg=DK 914.30SH/HH) and (fbg=DK 911*));Northwest Germany {Geography};
GEOLEO04180;9;GEOLEO04180;GEOLEO04170;Teilfragen zu Nordwestdeutschland {Geographie};lkl=QGB 416 or ((fbg=DK 914.30NI/HB or fbg=DK 914.30SH/HH) and (fbg=DK 911*));Particular Question to Northwest Germany {Geography};
GEOLEO04190;9;GEOLEO04190;GEOLEO04170;Niedersachsen {Geographie};lkl=QGB 430 or ((fbg=DK 911*) and (fbg=DK 914.30NI/HB));Lower Saxony {Geography};
GEOLEO04200;10;GEOLEO04200;GEOLEO04190;Physische Geographie Niedersachsens;lkl=QGB 432 or ((fbg=DK 911.2*) and (fbg=DK 914.30NI/HB));Physical Geography of Lower Saxony;
GEOLEO04210;10;GEOLEO04210;GEOLEO04190;Kulturgeographie Niedersachsens;lkl=QGB 434 or ((fbg=DK 911.3) and (fbg=DK 914.30NI/HB));Cultural Geography of Lower Saxony;
GEOLEO04220;10;GEOLEO04220;GEOLEO04190;Angewandte Geographie Niedersachsens;lkl=QGB 436 or ((fbg=DK 911*) and (fbg=DK 914.30NI/HB));Applied Geography of Lower Saxony;
GEOLEO04230;10;GEOLEO04230;GEOLEO04190;Teilfragen zu Niedersachsen {Geographie};lkl=QGB 438 or ((fbg=DK 911*) and (fbg=DK 914.30NI/HB));Particular Questions of Lower Saxony {Geography};
GEOLEO04240;10;GEOLEO04240;GEOLEO04190;ehemaliger Regierungsbezirk Weser-Ems {Geographie};lkl=QGB 441 or ((fbg=DK 911*) and (fbg=DK 914.30NI/HB));Weser-Ems Region {Geography};
GEOLEO04250;10;GEOLEO04250;GEOLEO04190;ehemaliger Regierungsbezirk Braunschweig {Geographie};lkl=QGB 442 or ((fbg=DK 911*) and (fbg=DK 914.30NI/HB));Brunswick Region {Geography};
GEOLEO04260;10;GEOLEO04260;GEOLEO04190;ehemaliger Regierungsbezirk Hannover {Geographie};lkl=QGB 443 or ((fbg=DK 911*) and (fbg=DK 914.30NI/HB));Hannover Region {Geography};
GEOLEO04270;10;GEOLEO04270;GEOLEO04190;ehemaliger Regierungsbezirk Lüneburg {Geographie};lkl=QGB 445 or ((fbg=DK 911*) and (fbg=DK 914.30NI/HB));Lueneburg Region {Geography};
GEOLEO04280;10;GEOLEO04280;GEOLEO04190;einzelne Kreise Niedersachsens {Geographie};lkl=QGB 450 or ((fbg=DK 911*) and (fbg=DK 914.30NI/HB));Particular Administrative District Lower Saxony {Geography};
GEOLEO04290;10;GEOLEO04290;GEOLEO04190;einzelne Orte: Braunschweig {Geographie};lkl=QGB 461 or ((fbg=DK 911*) and (fbg=DK 914.30NI/HB));Particular Location: Brunswick {Geography};
GEOLEO04300;10;GEOLEO04300;GEOLEO04190;einzelne Orte: Göttingen {Geographie};lkl=QGB 462 or ((fbg=DK 911*) and (fbg=DK 914.30NI/HB));Particular Location: Goettingen {Geography};
GEOLEO04310;10;GEOLEO04310;GEOLEO04190;einzelne Orte: Hannover {Geographie};lkl=QGB 463 or ((fbg=DK 911*) and (fbg=DK 914.30NI/HB));Particular Location: Hannover {Geography};
GEOLEO04320;10;GEOLEO04320;GEOLEO04190;einzelne Orte: Hildesheim {Geographie};lkl=QGB 464 or ((fbg=DK 911*) and (fbg=DK 914.30NI/HB));Particular Location: Hildesheim {Geography};
GEOLEO04330;10;GEOLEO04330;GEOLEO04190;einzelne Orte: Oldenburg {Geographie};lkl=QGB 465 or ((fbg=DK 911*) and (fbg=DK 914.30NI/HB));Particular Location: Oldenburg {Geography};
GEOLEO04340;10;GEOLEO04340;GEOLEO04190;einzelne Orte: Osnabrück {Geographie};lkl=QGB 466 or ((fbg=DK 911*) and (fbg=DK 914.30NI/HB));Particular Location: Osnabrueck {Geography};
GEOLEO04350;10;GEOLEO04350;GEOLEO04190;übrige Orte {Geographie};lkl=QGB 469 or ((fbg=DK 911*) and (fbg=DK 914.30NI/HB));Other Location Lower Saxony {Geography};
GEOLEO04360;9;GEOLEO04360;GEOLEO04170;Schleswig-Holstein {Geographie};lkl=QGB 500 or ((fbg=DK 911*) and (fbg=DK 914.30SH/HH));Schleswig-Holstein {Geography};
GEOLEO04370;10;GEOLEO04370;GEOLEO04360;Physische Geographie Schleswig-Holsteins;lkl=QGB 502 or ((fbg=DK 911.2*) and (fbg=DK 914.30SH/HH));Physical Geography Schleswig-Holstein;
GEOLEO04380;10;GEOLEO04380;GEOLEO04360;Kulturgeographie Schleswig-Holsteins;lkl=QGB 504 or ((fbg=DK 911.3*) and (fbg=DK 914.30SH/HH));Cultural Geography Schleswig-Holstein;
GEOLEO04390;10;GEOLEO04390;GEOLEO04360;Angewandte Geographie Schleswig-Holsteins;lkl=QGB 506 or ((fbg=DK 911*) and (fbg=DK 914.30SH/HH));Applied Geography Schleswig-Holstein;
GEOLEO04400;10;GEOLEO04400;GEOLEO04360;Teilfragen zu Schleswig-Holstein {Geographie};lkl=QGB 508 or ((fbg=DK 911*) and (fbg=DK 914.30SH/HH));Particular Question Schleswig-Holstein {Geography};
GEOLEO04410;10;GEOLEO04410;GEOLEO04360;Landesteile Schleswig-Holsteins {Geographie};lkl=QGB 510 or ((fbg=DK 911*) and (fbg=DK 914.30SH/HH));Country Parts Schleswig-Holstein {Geography};
GEOLEO04420;10;GEOLEO04420;GEOLEO04360;Kreise von Schleswig-Holstein {Geographie};lkl=QGB 515 or ((fbg=DK 911*) and (fbg=DK 914.30SH/HH));Administrative Districts Schleswig-Holstein {Geography};
GEOLEO04430;10;GEOLEO04430;GEOLEO04360;Einzelne Orte Schleswig-Holsteins {Geographie};lkl=QGB 519 or ((fbg=DK 911*) and (fbg=DK 914.30SH/HH));Particular Locations Schleswig-Holstein {Geography};
GEOLEO04440;9;GEOLEO04440;GEOLEO04170;Bremen, Stadt und Land {Geographie};lkl=QGB 530 or ((fbg=DK 911*) and (fbg=DK 914.30NI/HB));Bremen, City and Country {Geography};
GEOLEO04450;10;GEOLEO04450;GEOLEO04440;Teilfragen zu Bremen {Geographie};lkl=QGB 532 or ((fbg=DK 911*) and (fbg=DK 914.30NI/HB));Particular Questions Bremen {Geography};
GEOLEO04460;9;GEOLEO04460;GEOLEO04170;Hamburg, Stadt und Land {Geographie};lkl=QGB 540 or ((fbg=DK 911*) and (fbg=DK 914.30SH/HH));Hamburg, City and Country {Geography};
