HistGuide5700;3;HistGuide5700;HistGuide5300;Personen ;PVP 8?;Biographies 
HistGuide5750;3;HistGuide5750;HistGuide5300;Regional- und Lokalgeschichte ;974? Or 975? Or 976? Or 977? Or 978? Or 979?;United States by Region 
HistGuide5800;2;HistGuide5800;HistGuide3350;Nordoststaaten ;974?;Northeastern United States
HistGuide5850;2;HistGuide5850;HistGuide3350;Südoststaaten ;975?;Southeastern United States
HistGuide5900;2;HistGuide5900;HistGuide3350;Südliche zentrale Staaten ;976?;South central United States
HistGuide5950;2;HistGuide5950;HistGuide3350;Nördliche zentrale Staaten ;977?;North central United States
HistGuide6000;2;HistGuide6000;HistGuide3350;Westliche Staaten ;978?;Western United States
HistGuide6050;2;HistGuide6050;HistGuide3350;Staaten des Großen Beckens und der pazifischen Gebirsketten ;979?;Great Basin and Pacific Slope region of United States
HistGuide6100;2;HistGuide6100;HistGuide3350;Hawaii ;996.9?;Hawaii
HistGuide6150;1;HistGuide6150;HistGuide0000;Mittel- und Lateinamerika ;PVS? or PVT? or PVU? or PVW? or PVX? or 980?;Latin America 
HistGuide6200;1;HistGuide6200;HistGuide0000;Australien, Neuseeland, Ozeanien ;PX? or 993? or 994? or 995? or 996?;Australia, New Zealand, Oceania
HistGuide6250;2;HistGuide6250;HistGuide6200;Australien ;PXA? or 994?;Australia 
HistGuide6300;2;HistGuide6300;HistGuide6200;19. Jahrhundert ;PXB? ;19th Century 
HistGuide6350;2;HistGuide6350;HistGuide6200;20. Jahrhundert ;PXC? or PXD? or PXE? ;20th Century 
HistGuide6400;2;HistGuide6400;HistGuide6200;Neuseeland ;PXN? or PXO? or PXP? or PXR? or PXS? or 993?;New Zealand 
HistGuide6450;2;HistGuide6450;HistGuide6200;19. Jahrhundert ;PXO? ;19th Century 
HistGuide6500;2;HistGuide6500;HistGuide6200;20. Jahrhundert ;PXP? or PXR? or PXS? ;20th Century 
HistGuide6550;2;HistGuide6550;HistGuide6200;Ozeanien ;PXY? or 995? or 996?;Oceania 
HistGuide6600;1;HistGuide6600;HistGuide0000;Geschichte des jüdischen Volkes ;PY? or 909.04924;History of the Jewish People 
HistGuide6650;2;HistGuide6650;HistGuide6600;Mitteleuropa ;909.04924 and 943?;Central Europe 
HistGuide6700;2;HistGuide6700;HistGuide6600;Großbritannien und Irland ;909.04924 and (941? or 942?);Great Britain and Ireland
HistGuide6750;2;HistGuide6750;HistGuide6600;Nordamerika ;909.04924 and 97?;North America
HistGuide6800;1;HistGuide6800;HistGuide0000;Fachenyzklopädien, Nachschlagewerke, Diskussionslisten ;;Encyclopedias, Factual Reference Works, Discussion Lists
HistGuide6850;2;HistGuide6850;HistGuide6800;Übergreifende Nachschlagewerke ;ej;General Encyclopedias
HistGuide6900;2;HistGuide6900;HistGuide6800;Fachnachschlagewerke ;ej1;Special Encyclopedias
HistGuide6950;2;HistGuide6950;HistGuide6800;Biographische Nachschlagewerke ;ej2;Biographical Lexica
HistGuide7000;2;HistGuide7000;HistGuide6800;Datensammlungen ;d6;Data Collections
HistGuide7050;2;HistGuide7050;HistGuide6800;Fachwörterbücher ;we;Dictionaries, Thesauri
HistGuide7100;2;HistGuide7100;HistGuide6800;Ortsverzeichnisse ;oe;Gazetteers
HistGuide7150;2;HistGuide7150;HistGuide6800;Adress- und Personenverzeichnisse ;ay?;Addresses and Personnel Directories
HistGuide7200;2;HistGuide7200;HistGuide6800;Diskussionslisten ;dg;Discussion Lists
HistGuide7250;1;HistGuide7250;HistGuide0000;Fachportale, bibliographische Datenbanken ;;Information Servers, Bibliographic Sources
HistGuide7300;2;HistGuide7300;HistGuide7250;Fachportale ;ff;General Virtual Libraries
HistGuide7350;2;HistGuide7350;HistGuide7250;Übergreifende Bibliographien ;blz6;General Bibliographies
HistGuide7400;2;HistGuide7400;HistGuide7250;Spezialbibliographien ;bl;Special Bibliographies
HistGuide7450;2;HistGuide7450;HistGuide7250;Bibliothekskataloge ;kb?;Library Catalogs
HistGuide7500;1;HistGuide7500;HistGuide0000;Digitalisierte Quellen, Pulikationen, Fotos, Karten usw. ;;Digitized Primary Sources, Publications, Photos, Maps, etc. 
HistGuide7550;2;HistGuide7550;HistGuide7500;Quellen ;q6;Primary Sources
HistGuide7600;2;HistGuide7600;HistGuide7500;Lehrmaterialien ;te;Teaching Material
HistGuide7650;2;HistGuide7650;HistGuide7500;Karten ;ka?;Maps
HistGuide7700;2;HistGuide7700;HistGuide7500;Audiovisuelle Materialien ;mp or to;(Moving) Pictures, Sound
HistGuide7750;2;HistGuide7750;HistGuide7500;Bilder, Photos ;bb;Pictures, photos
HistGuide7800;2;HistGuide7800;HistGuide7500;Virtuelle Ausstellungen ;at;Virtual Exhibitions
HistGuide7850;2;HistGuide7850;HistGuide7500;Software ;do;Software
